,MZ,date,week,status,1_week_ago,2_week_ago,3_week_ago,4_week_ago,5_week_ago,6_week_ago,7_week_ago,8_week_ago
0,161,2019-01-07,2,0,0,0,0,0,0,0,0,0
1,108,2019-01-07,2,0,0,0,0,0,0,0,0,0
2,109,2019-01-07,2,0,0,0,0,0,0,0,0,0
3,11,2019-01-07,2,0,0,0,0,0,0,0,0,0
4,110,2019-01-07,2,0,0,0,0,0,0,0,0,0
5,110-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
6,111,2019-01-07,2,0,0,0,0,0,0,0,0,0
7,112,2019-01-07,2,0,0,0,0,0,0,0,0,0
8,113,2019-01-07,2,0,0,0,0,0,0,0,0,0
9,115,2019-01-07,2,0,0,0,0,0,0,0,0,0
10,117-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
11,118,2019-01-07,2,0,0,0,0,0,0,0,0,0
12,119,2019-01-07,2,0,0,0,0,0,0,0,0,0
13,12,2019-01-07,2,0,0,0,0,0,0,0,0,0
14,121,2019-01-07,2,0,0,0,0,0,0,0,0,0
15,122,2019-01-07,2,0,0,0,0,0,0,0,0,0
16,122-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
17,123,2019-01-07,2,0,0,0,0,0,0,0,0,0
18,107,2019-01-07,2,0,0,0,0,0,0,0,0,0
19,124,2019-01-07,2,0,0,0,0,0,0,0,0,0
20,106,2019-01-07,2,0,0,0,0,0,0,0,0,0
21,104,2019-01-07,2,0,0,0,0,0,0,0,0,0
22,01,2019-01-07,2,0,0,0,0,0,0,0,0,0
23,02,2019-01-07,2,0,0,0,0,0,0,0,0,0
24,02-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
25,03,2019-01-07,2,0,0,0,0,0,0,0,0,0
26,03-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
27,04,2019-01-07,2,0,0,0,0,0,0,0,0,0
28,05,2019-01-07,2,0,0,0,0,0,0,0,0,0
29,06,2019-01-07,2,0,0,0,0,0,0,0,0,0
30,07,2019-01-07,2,0,0,0,0,0,0,0,0,0
31,08,2019-01-07,2,0,0,0,0,0,0,0,0,0
32,09,2019-01-07,2,0,0,0,0,0,0,0,0,0
33,09-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
34,10,2019-01-07,2,0,0,0,0,0,0,0,0,0
35,100,2019-01-07,2,0,0,0,0,0,0,0,0,0
36,101,2019-01-07,2,0,0,0,0,0,0,0,0,0
37,102,2019-01-07,2,0,0,0,0,0,0,0,0,0
38,103,2019-01-07,2,0,0,0,0,0,0,0,0,0
39,105,2019-01-07,2,0,0,0,0,0,0,0,0,0
40,124-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
41,116,2019-01-07,2,0,0,0,0,0,0,0,0,0
42,125,2019-01-07,2,0,0,0,0,0,0,0,0,0
43,80,2019-01-07,2,1,1,1,1,1,1,1,1,1
44,124-2,2019-01-07,2,0,0,0,0,0,0,0,0,0
45,141,2019-01-07,2,0,0,0,0,0,0,0,0,0
46,140,2019-01-07,2,0,0,0,0,0,0,0,0,0
47,139-2,2019-01-07,2,0,0,0,0,0,0,0,0,0
48,139-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
49,139,2019-01-07,2,0,0,0,0,0,0,0,0,0
50,138,2019-01-07,2,0,0,0,0,0,0,0,0,0
51,137,2019-01-07,2,0,0,0,0,0,0,0,0,0
52,136,2019-01-07,2,0,0,0,0,0,0,0,0,0
53,135,2019-01-07,2,0,0,0,0,0,0,0,0,0
54,134-2,2019-01-07,2,0,0,0,0,0,0,0,0,0
55,14,2019-01-07,2,0,0,0,0,0,0,0,0,0
56,134,2019-01-07,2,0,0,0,0,0,0,0,0,0
57,134-1,2019-01-07,2,0,0,0,0,0,0,0,0,0
58,128,2019-01-07,2,0,0,0,0,0,0,0,0,0
59,127,2019-01-07,2,0,0,0,0,0,0,0,0,0
60,126,2019-01-07,2,0,0,0,0,0,0,0,0,0
61,13,2019-01-07,2,0,0,0,0,0,0,0,0,0
